,Predicted 10,Predicted 40,Predicted 50,Predicted 60,Predicted 1140,Predicted 1160,Predicted 1180,Predicted 1280,Predicted 1281,Predicted 1300,Predicted 1301,Predicted 1302,Predicted 1320,Predicted 1560,Predicted 1920,Predicted 1940,Predicted 2060,Predicted 2220,Predicted 2280,Predicted 2403,Predicted 2462,Predicted 2522,Predicted 2582,Predicted 2583,Predicted 2585,Predicted 2705,Predicted 2905
Actual 1301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actual 1302,0.0,0.0,0.0,0.0,0.0,0.0,0.006134969325153374,0.049079754601226995,0.018404907975460124,0.006134969325153374,0.012269938650306749,0.8282208588957055,0.006134969325153374,0.0,0.0,0.0,0.012269938650306749,0.0,0.0,0.0,0.0,0.0,0.024539877300613498,0.024539877300613498,0.012269938650306749,0.0,0.0
Actual 1320,0.0,0.0,0.0064516129032258064,0.0,0.012903225806451613,0.0064516129032258064,0.0,0.05161290322580645,0.0064516129032258064,0.0,0.0064516129032258064,0.012903225806451613,0.7935483870967742,0.01935483870967742,0.01935483870967742,0.0064516129032258064,0.03870967741935484,0.0,0.0,0.0,0.0,0.0064516129032258064,0.0,0.0,0.012903225806451613,0.0,0.0
Actual 1560,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.02054794520547945,0.0136986301369863,0.7328767123287672,0.0410958904109589,0.0,0.04794520547945205,0.0,0.0,0.0,0.0,0.0136986301369863,0.0684931506849315,0.0136986301369863,0.0273972602739726,0.0,0.0
Actual 1920,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0136986301369863,0.0273972602739726,0.910958904109589,0.0,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0
Actual 1940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actual 2060,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0064516129032258064,0.0,0.012903225806451613,0.0,0.0,0.0,0.012903225806451613,0.04516129032258064,0.05161290322580645,0.05161290322580645,0.0,0.6838709677419355,0.0,0.0,0.0,0.0,0.01935483870967742,0.09032258064516129,0.0,0.01935483870967742,0.0,0.0
Actual 2220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807692307692307,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0
Actual 2280,0.053691275167785234,0.013422818791946308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8187919463087249,0.09395973154362416,0.0,0.0,0.0,0.0,0.0,0.020134228187919462,0.0
Actual 2403,0.10759493670886076,0.02531645569620253,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.012658227848101266,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.03164556962025317,0.7848101265822784,0.0,0.0,0.0,0.0,0.0,0.0189873417721519,0.0
Actual 2462,0.0,0.03488372093023256,0.06976744186046512,0.0,0.03488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8604651162790697,0.0,0.0,0.0,0.0,0.0,0.0
Actual 2522,0.006622516556291391,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013245033112582781,0.0,0.006622516556291391,0.006622516556291391,0.013245033112582781,0.0,0.006622516556291391,0.0,0.0,0.9139072847682119,0.0,0.0,0.019867549668874173,0.0,0.0
Actual 2582,0.0,0.0,0.0,0.0,0.0,0.0,0.006369426751592357,0.0,0.0,0.0,0.0,0.012738853503184714,0.01910828025477707,0.050955414012738856,0.006369426751592357,0.0,0.050955414012738856,0.006369426751592357,0.0,0.0,0.0,0.006369426751592357,0.7643312101910829,0.0,0.07643312101910828,0.0,0.0
Actual 2583,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.006993006993006993,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.013986013986013986,0.9370629370629371,0.02097902097902098,0.0,0.0
Actual 2585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006369426751592357,0.01910828025477707,0.012738853503184714,0.0,0.0,0.006369426751592357,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.05732484076433121,0.012738853503184714,0.8789808917197452,0.0,0.0
Actual 2705,0.3,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.01764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0,0.0,0.01764705882352941,0.041176470588235294,0.0,0.0,0.0058823529411764705,0.0058823529411764705,0.0,0.5941176470588235,0.0
Actual 2905,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.8837209302325582
